ccaa_iso;fecha;num_casos;casos_ac;num_casos_prueba_pcr;num_casos_prueba_test_ac;num_casos_prueba_otras;num_casos_prueba_desconocida
AS;2020-06-28;0;2435;0;0;0;0
AS;2020-06-29;0;2435;0;0;0;0
AS;2020-06-30;0;2435;0;0;0;0
AS;2020-07-01;1;2436;1;0;0;0
AS;2020-07-02;0;2436;0;0;0;0
AS;2020-07-03;0;2436;0;0;0;0
AS;2020-07-04;0;2436;0;0;0;0
AS;2020-07-05;0;2436;0;0;0;0
CB;2020-01-31;0;0;0;0;0;0
CB;2020-02-01;0;0;0;0;0;0
CB;2020-02-02;0;0;0;0;0;0
CB;2020-02-03;0;0;0;0;0;0
CB;2020-02-04;0;0;0;0;0;0
CB;2020-02-05;0;0;0;0;0;0
CB;2020-02-06;0;0;0;0;0;0
CB;2020-02-07;0;0;0;0;0;0
CB;2020-02-08;0;0;0;0;0;0
CB;2020-02-09;0;0;0;0;0;0
CB;2020-02-10;0;0;0;0;0;0
CB;2020-02-11;0;0;0;0;0;0
CB;2020-02-12;0;0;0;0;0;0
CB;2020-02-13;0;0;0;0;0;0
CB;2020-02-14;0;0;0;0;0;0
CB;2020-02-15;0;0;0;0;0;0
CB;2020-02-16;0;0;0;0;0;0
CB;2020-02-17;0;0;0;0;0;0
CB;2020-02-18;0;0;0;0;0;0
CB;2020-02-19;0;0;0;0;0;0
CB;2020-02-20;0;0;0;0;0;0
CB;2020-02-21;0;0;0;0;0;0
CB;2020-02-22;0;0;0;0;0;0
CB;2020-02-23;1;1;1;0;0;0
CB;2020-02-24;0;1;0;0;0;0
CB;2020-02-25;8;9;8;0;0;0
CB;2020-02-26;0;9;0;0;0;0
CB;2020-02-27;0;9;0;0;0;0
CB;2020-02-28;0;9;0;0;0;0
CB;2020-02-29;1;10;1;0;0;0
CB;2020-03-01;1;11;1;0;0;0
CB;2020-03-02;0;11;0;0;0;0
CB;2020-03-03;0;11;0;0;0;0
CB;2020-03-04;0;11;0;0;0;0
CB;2020-03-05;0;11;0;0;0;0
CB;2020-03-06;9;20;9;0;0;0
CB;2020-03-07;12;32;12;0;0;0
CB;2020-03-08;17;49;17;0;0;0
CB;2020-03-09;9;58;9;0;0;0
CB;2020-03-10;3;61;3;0;0;0
CB;2020-03-11;17;78;17;0;0;0
CB;2020-03-12;36;114;36;0;0;0
CB;2020-03-13;54;168;54;0;0;0
CB;2020-03-14;59;227;59;0;0;0
CB;2020-03-15;68;295;68;0;0;0
CB;2020-03-16;71;366;71;0;0;0
CB;2020-03-17;76;442;76;0;0;0
CB;2020-03-18;89;531;89;0;0;0
CB;2020-03-19;177;708;177;0;0;0
CB;2020-03-20;143;851;143;0;0;0
CB;2020-03-21;99;950;99;0;0;0
CB;2020-03-22;84;1034;84;0;0;0
CB;2020-03-23;87;1121;87;0;0;0
